0,Content ID,Type,Datetime,Sentiment,Score
422,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,31-08-2020,negative,0
425,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,29-05-2021,negative,0
451,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,08-05-2021,negative,0
460,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,16-05-2021,negative,0
469,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,04-04-2021,negative,0
470,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,03-02-2021,negative,0
492,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,11-05-2021,negative,0
497,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,28-05-2021,negative,0
501,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,19-12-2020,negative,0
512,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,12-11-2020,negative,0
543,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,02-12-2020,negative,0
584,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,12-04-2021,negative,0
590,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,06-03-2021,negative,0
591,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,17-11-2020,negative,0
610,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,23-02-2021,negative,0
611,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,02-06-2021,negative,0
660,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,disgust,01-06-2021,negative,0
695,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,03-04-2021,negative,0
696,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,19-03-2021,negative,0
714,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,17-08-2020,negative,0
745,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,19-05-2021,negative,0
771,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,16-08-2020,negative,0
787,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,05-07-2020,negative,0
804,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,22-12-2020,negative,0
807,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,07-12-2020,negative,0
827,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,01-06-2021,negative,0
839,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,22-12-2020,negative,0
843,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,17-04-2021,negative,0
844,74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,30-01-2021,negative,0
905,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,01-01-2021,negative,0
927,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,15-10-2020,negative,0
929,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,04-07-2020,negative,0
942,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,12-11-2020,negative,0
949,07f88a73-aef2-45fd-8b5d-418e448b853d,disgust,19-12-2020,negative,0
950,07f88a73-aef2-45fd-8b5d-418e448b853d,disgust,31-05-2021,negative,0
958,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,30-05-2021,negative,0
977,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,30-11-2020,negative,0
995,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,01-09-2020,negative,0
1016,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,26-03-2021,negative,0
1024,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,20-01-2021,negative,0
1048,4fa14453-7b29-4302-b51f-9aa23b472c1b,disgust,30-10-2020,negative,0
1064,ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,13-11-2020,negative,0
1069,ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,17-04-2021,negative,0
1071,ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,30-10-2020,negative,0
1087,4478d98e-43e8-4dc0-884d-c1115aa8b970,disgust,21-09-2020,negative,0
1099,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,10-09-2020,negative,0
1129,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,28-05-2021,negative,0
1130,34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,27-01-2021,negative,0
1140,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,disgust,05-11-2020,negative,0
1161,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,18-07-2020,negative,0
1174,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,26-06-2020,negative,0
1176,220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,19-02-2021,negative,0
1208,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,05-12-2020,negative,0
1233,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,10-02-2021,negative,0
1240,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,01-03-2021,negative,0
1245,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,25-07-2020,negative,0
1248,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,14-12-2020,negative,0
1289,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,27-05-2021,negative,0
1295,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,22-01-2021,negative,0
1297,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,27-10-2020,negative,0
1316,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,10-07-2020,negative,0
1322,c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,30-08-2020,negative,0
1342,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,03-05-2021,negative,0
1346,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,17-11-2020,negative,0
1358,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,08-09-2020,negative,0
1363,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,20-04-2021,negative,0
1367,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,10-09-2020,negative,0
1376,50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,28-03-2021,negative,0
1390,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,20-12-2020,negative,0
1392,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,02-08-2020,negative,0
1426,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,19-02-2021,negative,0
1434,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,17-03-2021,negative,0
1448,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,02-09-2020,negative,0
1467,82145a60-013e-4d96-81a5-399af8618158,disgust,21-01-2021,negative,0
1477,82145a60-013e-4d96-81a5-399af8618158,disgust,16-10-2020,negative,0
1509,78713905-362f-4a87-9671-adab5f1e0e67,disgust,28-01-2021,negative,0
1515,78713905-362f-4a87-9671-adab5f1e0e67,disgust,24-01-2021,negative,0
1526,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,05-08-2020,negative,0
1544,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,12-06-2021,negative,0
1564,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,09-12-2020,negative,0
1578,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,disgust,06-08-2020,negative,0
1610,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,28-12-2020,negative,0
1618,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,05-06-2021,negative,0
1626,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,disgust,20-06-2020,negative,0
1671,026973ef-4b73-4901-9160-bc9e04516057,disgust,19-12-2020,negative,0
1680,026973ef-4b73-4901-9160-bc9e04516057,disgust,30-09-2020,negative,0
1723,f08bdab2-b888-484e-8fd9-919e6ed86c12,disgust,02-01-2021,negative,0
1730,f08bdab2-b888-484e-8fd9-919e6ed86c12,disgust,07-02-2021,negative,0
1760,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,07-08-2020,negative,0
1761,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,01-10-2020,negative,0
1775,258bb775-3c35-4eec-90f3-8b75a52e466a,disgust,18-09-2020,negative,0
1786,8d32243c-2dd1-4128-bde1-d643207e582c,disgust,25-09-2020,negative,0
1838,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,26-02-2021,negative,0
1843,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,22-05-2021,negative,0
1863,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,14-06-2021,negative,0
1893,3d8fffab-6107-4d7b-9485-c610e233c91c,disgust,23-03-2021,negative,0
1902,3d8fffab-6107-4d7b-9485-c610e233c91c,disgust,02-05-2021,negative,0
1923,409aa11d-5af3-4a70-9da1-482857f5835e,disgust,31-05-2021,negative,0
1966,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,26-12-2020,negative,0
1983,9ef39aa2-60f9-4e4b-b666-c6cb97015503,disgust,04-05-2021,negative,0
1996,9ef39aa2-60f9-4e4b-b666-c6cb97015503,disgust,26-11-2020,negative,0
2053,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,26-01-2021,negative,0
2063,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,01-03-2021,negative,0
2072,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,23-06-2020,negative,0
2077,3724de8a-ec2f-4021-a3f1-605d551da9d0,disgust,02-02-2021,negative,0
2126,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,07-03-2021,negative,0
2128,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,04-05-2021,negative,0
2133,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,11-02-2021,negative,0
2143,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,09-05-2021,negative,0
2181,359b93ea-446f-4202-8801-db238de5de4d,disgust,01-04-2021,negative,0
2213,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,07-10-2020,negative,0
2228,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,22-08-2020,negative,0
2312,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,disgust,15-12-2020,negative,0
2329,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,disgust,09-01-2021,negative,0
2335,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,disgust,28-08-2020,negative,0
2357,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,disgust,21-01-2021,negative,0
2366,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,disgust,29-06-2020,negative,0
2370,c4f59a1e-3198-4968-b062-9e9fcc41403f,disgust,17-09-2020,negative,0
2394,9d94f180-947c-40f5-aa05-f1958759b7fc,disgust,17-10-2020,negative,0
2406,9d94f180-947c-40f5-aa05-f1958759b7fc,disgust,03-10-2020,negative,0
2407,6ef45d36-cd14-428c-b5cf-ad2f06371c6e,disgust,18-08-2020,negative,0
2434,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,disgust,21-01-2021,negative,0
2439,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,22-01-2021,negative,0
2456,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,disgust,12-11-2020,negative,0
2495,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,17-10-2020,negative,0
2506,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,disgust,20-06-2020,negative,0
2543,e18e10e9-ed2a-494b-b215-edce890b1df4,disgust,12-12-2020,negative,0
2547,e18e10e9-ed2a-494b-b215-edce890b1df4,disgust,17-02-2021,negative,0
2562,c2d6e707-f00e-4fa4-a193-eb36272f58df,disgust,11-02-2021,negative,0
2587,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,15-11-2020,negative,0
2597,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,13-09-2020,negative,0
2603,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,20-04-2021,negative,0
2605,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,29-06-2020,negative,0
2629,6d6cf6a3-4187-44ec-af28-91c99b584bcf,disgust,01-08-2020,negative,0
2633,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,24-05-2021,negative,0
2636,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,03-12-2020,negative,0
2648,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,02-10-2020,negative,0
2677,c8b044a9-8427-4b41-bc61-7b549ab1626c,disgust,08-03-2021,negative,0
2697,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,13-12-2020,negative,0
2701,cd568dd1-70cf-45d6-b495-10eebff8c920,disgust,29-01-2021,negative,0
2742,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,25-03-2021,negative,0
2743,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,02-03-2021,negative,0
2748,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,24-09-2020,negative,0
2754,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,disgust,27-12-2020,negative,0
2757,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,20-08-2020,negative,0
2758,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,08-05-2021,negative,0
2760,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,12-02-2021,negative,0
2774,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,02-10-2020,negative,0
2776,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,13-03-2021,negative,0
2781,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,23-10-2020,negative,0
2793,ef99fd68-74fb-4c72-bc70-742ebca14499,disgust,11-06-2021,negative,0
2810,62681a6c-fe82-4186-ba7d-0805ae5b95ed,disgust,25-08-2020,negative,0
2823,ec8e2d25-5730-4753-a0a2-d1ed41e23623,disgust,19-09-2020,negative,0
2850,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,03-04-2021,negative,0
2851,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,20-11-2020,negative,0
2854,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,16-02-2021,negative,0
2884,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,12-05-2021,negative,0
2920,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,23-12-2020,negative,0
2927,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,30-05-2021,negative,0
2929,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,09-12-2020,negative,0
2960,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,14-04-2021,negative,0
2961,433607b3-eeb4-48b8-9263-9805c1b89d55,disgust,11-09-2020,negative,0
2982,1000371f-7758-4c44-a1bc-41fd836b0bcb,disgust,15-06-2021,negative,0
2985,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,disgust,05-09-2020,negative,0
3012,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,disgust,09-08-2020,negative,0
3040,8e3896e3-2f84-4b47-9365-fb562c9ed730,disgust,01-09-2020,negative,0
3059,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,05-11-2020,negative,0
3093,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,19-07-2020,negative,0
3097,e4466189-0b96-4cc4-9d7d-d0f27b982548,disgust,03-02-2021,negative,0
3120,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,19-07-2020,negative,0
3126,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,21-03-2021,negative,0
3141,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,21-04-2021,negative,0
3148,391a9aa4-c04a-431e-8366-712d92267c2b,disgust,23-02-2021,negative,0
3169,e8edf506-36c9-43a7-a685-8b9f6467e4f9,disgust,02-09-2020,negative,0
3175,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,27-11-2020,negative,0
3179,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,12-09-2020,negative,0
3189,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,06-05-2021,negative,0
3193,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,10-05-2021,negative,0
3209,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,03-08-2020,negative,0
3213,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,disgust,07-01-2021,negative,0
3227,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,26-05-2021,negative,0
3231,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,16-05-2021,negative,0
3243,c7066a17-2e12-49d2-bb9e-c8967051f490,disgust,29-09-2020,negative,0
3262,f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,29-12-2020,negative,0
3284,c6cbd704-9d4a-4ace-b61e-e5df74ee83af,disgust,24-02-2021,negative,0
3289,c6cbd704-9d4a-4ace-b61e-e5df74ee83af,disgust,13-02-2021,negative,0
3325,b6c24086-becf-4615-801e-c3c298a8d4e2,disgust,27-04-2021,negative,0
3347,1beeffff-f261-435f-a109-6fafe46669d4,disgust,08-12-2020,negative,0
3357,1beeffff-f261-435f-a109-6fafe46669d4,disgust,23-05-2021,negative,0
3368,1beeffff-f261-435f-a109-6fafe46669d4,disgust,04-06-2021,negative,0
3376,61e6650c-5068-4575-9aee-4217ef3dbdb1,disgust,27-11-2020,negative,0
3392,61e6650c-5068-4575-9aee-4217ef3dbdb1,disgust,27-03-2021,negative,0
3397,61e6650c-5068-4575-9aee-4217ef3dbdb1,disgust,09-11-2020,negative,0
3411,3a7f83a0-b9f9-44c1-a15d-656c4095e732,disgust,24-04-2021,negative,0
3422,2b6921de-e7f2-4e30-8feb-36bd41becaf0,disgust,15-12-2020,negative,0
3455,b56a9e24-d0f2-4599-b893-c2889a15e1d6,disgust,02-03-2021,negative,0
3499,d706b190-216c-4103-9107-fb7304766d68,disgust,29-09-2020,negative,0
3519,d706b190-216c-4103-9107-fb7304766d68,disgust,25-07-2020,negative,0
3530,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,12-10-2020,negative,0
3541,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,08-01-2021,negative,0
3547,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,11-11-2020,negative,0
3549,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,28-02-2021,negative,0
3561,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,disgust,16-12-2020,negative,0
3579,2c511a63-5eb5-422f-8483-c9fcf9a29b55,disgust,23-05-2021,negative,0
3582,2c511a63-5eb5-422f-8483-c9fcf9a29b55,disgust,17-08-2020,negative,0
3592,edc4a60a-b5ba-4178-b99e-9d34ed92599c,disgust,28-01-2021,negative,0
3597,edc4a60a-b5ba-4178-b99e-9d34ed92599c,disgust,23-06-2020,negative,0
3637,edc4a60a-b5ba-4178-b99e-9d34ed92599c,disgust,11-06-2021,negative,0
3667,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,27-06-2020,negative,0
3689,e51b00b8-49d4-4909-9f25-8e9a06e28728,disgust,06-04-2021,negative,0
3716,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,05-11-2020,negative,0
3719,509a5fb0-9bb2-4809-9f90-18ae007acc94,disgust,05-05-2021,negative,0
3724,f1038e6c-5292-4e20-a866-675e1637d6b5,disgust,27-12-2020,negative,0
3819,3a106d1f-3942-49d4-9358-417f33d760c6,disgust,19-12-2020,negative,0
3826,3a106d1f-3942-49d4-9358-417f33d760c6,disgust,03-08-2020,negative,0
3836,3a106d1f-3942-49d4-9358-417f33d760c6,disgust,10-08-2020,negative,0
3844,1830df30-c239-4287-8d63-fadcb8ced884,disgust,23-05-2021,negative,0
3845,1830df30-c239-4287-8d63-fadcb8ced884,disgust,26-06-2020,negative,0
3850,1830df30-c239-4287-8d63-fadcb8ced884,disgust,06-04-2021,negative,0
3883,5bb364a6-8646-4cdb-b1cf-09f4125718d8,disgust,16-08-2020,negative,0
3910,dd2f8912-9b97-40cb-ac5f-215f98d4d733,disgust,09-08-2020,negative,0
3911,dd2f8912-9b97-40cb-ac5f-215f98d4d733,disgust,25-10-2020,negative,0
3912,dd2f8912-9b97-40cb-ac5f-215f98d4d733,disgust,09-03-2021,negative,0
3914,dd2f8912-9b97-40cb-ac5f-215f98d4d733,disgust,10-06-2021,negative,0
3926,de95cdb1-a85a-40de-8467-892e2d1481af,disgust,01-10-2020,negative,0
3932,de95cdb1-a85a-40de-8467-892e2d1481af,disgust,27-06-2020,negative,0
3954,de95cdb1-a85a-40de-8467-892e2d1481af,disgust,06-11-2020,negative,0
4001,8490c29c-177f-4c21-9d37-d509f9287f30,disgust,09-12-2020,negative,0
4030,bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,disgust,20-04-2021,negative,0
4038,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,04-06-2021,negative,0
4056,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,19-02-2021,negative,0
4066,5651450a-d330-46e6-bac9-c7c7e7defaf2,disgust,12-02-2021,negative,0
4079,7c2e209e-acea-4246-a32d-636e2f2cc2c1,disgust,29-05-2021,negative,0
4080,7c2e209e-acea-4246-a32d-636e2f2cc2c1,disgust,03-09-2020,negative,0
4119,2eb7feec-26a4-4949-8470-3e66c16536e9,disgust,06-10-2020,negative,0
4156,f783f128-6f66-4ef3-a190-5afc29d17012,disgust,14-03-2021,negative,0
4164,f783f128-6f66-4ef3-a190-5afc29d17012,disgust,26-02-2021,negative,0
4182,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,06-07-2020,negative,0
4212,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,02-02-2021,negative,0
4231,6e418568-a2b9-4d08-b241-06362c96a7f1,disgust,23-07-2020,negative,0
4242,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,09-11-2020,negative,0
4260,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,17-03-2021,negative,0
4267,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,13-02-2021,negative,0
4268,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,12-06-2021,negative,0
4294,34123572-64b7-4f3d-b098-a2651d882fb2,disgust,04-07-2020,negative,0
4321,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,disgust,03-06-2021,negative,0
4326,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,disgust,25-10-2020,negative,0
4332,8f3cce80-d539-4f83-84f6-901e524c088e,disgust,31-08-2020,negative,0
4335,27fffa3e-000d-4f29-9358-5b0d2280d18c,disgust,28-05-2021,negative,0
4336,27fffa3e-000d-4f29-9358-5b0d2280d18c,disgust,20-10-2020,negative,0
4344,27fffa3e-000d-4f29-9358-5b0d2280d18c,disgust,27-12-2020,negative,0
4366,3c092e34-bac9-4e63-a7fa-0608fb73914f,disgust,08-08-2020,negative,0
4372,413101f7-ea05-4df6-97cf-9891245c5ed7,disgust,18-03-2021,negative,0
4393,6be333ca-7797-41a5-9a2d-e198037d30ed,disgust,09-05-2021,negative,0
4468,fa781e01-b928-401f-86f4-d42b0a3b55ab,disgust,03-02-2021,negative,0
4469,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,24-07-2020,negative,0
4486,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,11-02-2021,negative,0
4506,43e53b12-71cb-4aad-9cb7-8c3572053230,disgust,28-07-2020,negative,0
4515,a58c963f-1bec-4eee-b66f-60062a9dd96e,disgust,01-10-2020,negative,0
4517,a58c963f-1bec-4eee-b66f-60062a9dd96e,disgust,10-12-2020,negative,0
4572,748ab616-8066-4c61-b6af-d7442545d12a,disgust,08-12-2020,negative,0
4581,748ab616-8066-4c61-b6af-d7442545d12a,disgust,26-05-2021,negative,0
4586,e0fe9c2b-0e5f-46b3-bb4a-f68bf569e867,disgust,09-05-2021,negative,0
4612,734c0b94-6729-44ef-af97-90a3a51a466c,disgust,28-07-2020,negative,0
4620,734c0b94-6729-44ef-af97-90a3a51a466c,disgust,14-10-2020,negative,0
4637,43da458b-66fe-4723-996c-57dcfad67edf,disgust,08-03-2021,negative,0
4698,7dc268e5-b50d-4280-82aa-e08af75a8a0a,disgust,15-10-2020,negative,0
4745,ebdf5d36-9ecc-44d7-b641-d33805709452,disgust,05-08-2020,negative,0
4753,ebdf5d36-9ecc-44d7-b641-d33805709452,disgust,24-12-2020,negative,0
4757,ebdf5d36-9ecc-44d7-b641-d33805709452,disgust,20-05-2021,negative,0
4769,ebdf5d36-9ecc-44d7-b641-d33805709452,disgust,06-09-2020,negative,0
4785,1429467d-e8a2-4292-bd46-921e8bd87b30,disgust,16-10-2020,negative,0
4826,f0d1b3ed-f1dd-4a09-b17a-b0f241932fbb,disgust,30-11-2020,negative,0
4837,f0d1b3ed-f1dd-4a09-b17a-b0f241932fbb,disgust,25-02-2021,negative,0
4847,7d459555-a816-4d20-893c-a002e0a74ce3,disgust,02-05-2021,negative,0
